DATE,FUNC_BEFORE,FUNC_NOW,FUNC_IDENTICAL,FUNC_ADDED,FUNC_REMOVED,FUNC_PERC_ADD_REM,FUNC_MEDIAN_PERC_LOC_CHG
1998-11-22,1062,1158,673,485,389,82,1.21
1999-02-02,1158,1342,1049,293,109,34,1.71
1999-03-26,1342,1639,1234,405,108,38,0.00
1999-05-27,1639,1723,1508,215,131,21,3.18
1999-07-04,1723,1814,1540,274,183,26,1.80
1999-08-07,1814,1895,1697,198,117,17,0.00
1999-09-24,1895,2145,1721,424,174,31,2.35
2000-01-16,2145,2239,2072,167,73,11,3.58
2000-05-11,2239,2479,2118,361,121,21,3.22
2000-06-07,2479,2228,1877,351,602,38,7.14
2000-07-17,2228,2293,1948,345,280,28,1.31
2000-09-15,2293,2309,2207,102,86,8,0.00
2000-10-20,2309,2387,2288,99,21,5,1.61
2001-05-29,2387,2548,2363,185,24,8,20.34
2001-09-25,2548,2274,2147,127,401,20,0.00
2001-12-04,2274,2348,2219,129,55,8,2.41
2001-12-25,2348,2391,2218,173,130,12,2.58
2002-01-04,2391,2396,2130,266,261,22,0.71
2002-01-25,2396,2413,2278,135,118,10,1.27
2002-03-26,2413,2451,2362,89,51,5,2.67
2002-05-15,2451,2492,2411,81,40,4,4.92
2002-08-13,2492,2382,2306,76,186,10,1.19
2002-09-21,2382,2414,2271,143,111,10,4.73
2002-12-18,2414,2556,2323,233,91,13,3.64
2003-02-07,2556,2708,2530,178,26,7,0.49
2003-03-10,2708,2733,2611,122,97,8,3.43
2003-04-05,2733,2732,2444,288,289,21,5.26
2003-04-24,2732,2756,2512,244,220,16,1.47
2003-06-03,2756,2774,2677,97,79,6,0.49
2003-09-23,2774,2826,2724,102,50,5,3.95
2003-11-26,2826,2845,2750,95,76,6,2.25
2003-12-29,2845,2876,2659,217,186,14,2.00
2004-03-16,2876,2889,2788,101,88,6,2.56
2004-04-20,2889,2996,2860,136,29,5,0.65
2004-06-28,2996,3022,2985,37,11,1,2.92
2004-08-28,3022,3097,2998,99,24,4,3.70
2004-11-12,3097,3290,3016,274,81,11,14.81
2004-12-08,3290,3345,3129,216,161,11,4.82
2005-01-20,3345,3410,3279,131,66,5,4.03
2005-03-16,3410,3531,3352,179,58,6,2.25
2005-04-21,3531,3630,3489,141,42,5,4.90
2005-05-28,3630,3669,3559,110,71,4,3.23
2005-07-19,3669,3735,3633,102,36,3,0.00
2005-08-03,3735,3767,3670,97,65,4,12.31
2005-08-28,3767,3883,3714,169,53,5,1.98
2005-10-13,3883,3983,3817,166,66,5,5.26
2005-11-10,3983,4015,3931,84,52,3,2.53
2005-12-15,4015,4074,3946,128,69,4,2.39
2006-01-14,4074,4123,4014,109,60,4,2.65
2006-04-04,4123,4147,4095,52,28,1,3.82
2006-05-15,4147,4041,3971,70,176,5,3.23
2006-08-24,4041,4069,4015,54,26,1,4.76
2006-11-03,4069,4139,4013,126,56,4,2.03
2007-01-10,4139,4172,4041,131,98,5,3.05
2007-03-15,4172,4205,4151,54,21,1,2.44
2007-07-18,4205,4154,4054,100,151,5,2.12
2007-08-29,4154,4240,3985,255,169,10,0.75
2007-11-13,4240,4313,4224,89,16,2,3.31
2008-02-13,4313,4352,4285,67,28,2,1.73
2008-07-19,4352,4624,4336,288,16,6,2.40
2008-11-02,4624,4838,4563,275,61,7,1.41
2009-02-10,4838,4895,4792,103,46,3,1.85
2009-04-29,4895,4916,4886,30,9,0,2.22
2009-08-17,4916,4967,4880,87,36,2,5.26
2009-11-23,4967,5019,4944,75,23,1,1.54
2010-08-10,5019,4824,4701,123,318,8,3.60
2011-01-02,4824,4881,4778,103,46,3,2.36
2011-03-16,4881,4937,4855,82,26,2,1.72
2011-11-01,4937,5225,4917,308,20,6,2.70
2012-08-22,5225,5268,5187,81,38,2,1.32
2013-11-08,5268,5358,5120,238,148,7,2.88
